Total top-level children: 160
  1: type=FRAME, name=ADMIN HOME, id=1301:5559
  2: type=FRAME, name=COLOR PALETTE, id=1382:4790
  3: type=FRAME, name=STUDENT HOME, id=1374:4667
  4: type=FRAME, name=filter sector, id=1741:2222
  5: type=FRAME, name=STUDENT CERTIFICATES, id=1374:4821
  6: type=FRAME, name=ADMIN USER MANAGEMENT, id=1342:5747
  7: type=FRAME, name=ADMIN SECTORS, id=1342:5765
  8: type=FRAME, name=ADMIN SYSTEM LOGS, id=1342:5779
  9: type=FRAME, name=ADMIN SETTINGS, id=1342:5793
  10: type=FRAME, name=ADMIN SETTINGS - Access and Notification, id=1866:2614
  11: type=FRAME, name=ADMIN SETTINGS - System Preferences, id=1930:2923
  12: type=FRAME, name=Languages, id=1943:3279
  13: type=FRAME, name=Password Expiry, id=2184:8220
  14: type=FRAME, name=ADMIN SETTINGS - Backup & Security, id=1943:2878
  15: type=GROUP, name=Group 866, id=1973:2948
  16: type=GROUP, name=Group 868, id=1973:2972
  17: type=GROUP, name=Group 869, id=1973:2995
  18: type=GROUP, name=Group 867, id=1973:2949
  19: type=FRAME, name=LANDING PAGE, id=1301:5288
  20: type=RECTANGLE, name=image 17, id=1537:1212
  21: type=FRAME, name=Sign Up, id=1346:4631
  22: type=FRAME, name=f, id=1537:2012
  23: type=FRAME, name=f, id=2192:3869
  24: type=FRAME, name=Sign In, id=1504:711
  25: type=TEXT, name=PUTI LANG DAW GAGALAWIN WAG DAW SIDE BAR AT HEADER  - Wag daw basta lagay ng button, id=1369:4628
  26: type=TEXT, name=ADMIN, id=1342:5606
  27: type=TEXT, name=STUDENT, id=2199:4856
  28: type=TEXT, name=TRAINER, id=2199:6165
  29: type=TEXT, name=ASSETS, id=1461:5182
  30: type=FRAME, name=Font Style, id=1369:4629
  31: type=FRAME, name=Text size, id=1364:4668
  32: type=FRAME, name=TRAINER BARISTA NCII, id=1368:259
  33: type=FRAME, name=TRAINER CLASSWORK PAGE, id=2031:3005
  34: type=FRAME, name=Classwork Frame, id=2054:5463
  35: type=FRAME, name=TRAINER PEOPLE PAGE, id=2031:3246
  36: type=FRAME, name=TRAINER GRADES PAGE, id=2031:3327
  37: type=FRAME, name=TRAINER MATERIAL PAGE, id=2186:5846
  38: type=FRAME, name=TRAINER ARCHIVED COURSES, id=1487:8429
  39: type=FRAME, name=TRAINER TASKS, id=1487:8587
  40: type=FRAME, name=TRAINER SETTINGS, id=1487:8495
  41: type=FRAME, name=TRAINER HOME MAIN, id=1493:717
  42: type=RECTANGLE, name=image 13, id=1493:2325
  43: type=RECTANGLE, name=image 11, id=1429:1795
  44: type=FRAME, name=TRAINER SECTORS, id=1368:322
  45: type=FRAME, name=SECTOR TRAINING LIST , id=1518:6552
  46: type=TEXT, name=REFERENCES, id=1429:939
  47: type=COMPONENT_SET, name=Component 11, id=1391:6166
  48: type=COMPONENT_SET, name=Component 11, id=1391:6175
  49: type=COMPONENT_SET, name=Component 10, id=1391:6193
  50: type=COMPONENT_SET, name=Component 7, id=1391:6202
  51: type=COMPONENT_SET, name=Component 9, id=1391:6211
  52: type=RECTANGLE, name=image 9, id=1429:962
  53: type=COMPONENT_SET, name=Component 14, id=1391:7396
  54: type=COMPONENT_SET, name=Component 17, id=1594:5813
  55: type=COMPONENT_SET, name=Component 12, id=1391:7409
  56: type=COMPONENT_SET, name=Component 15, id=1391:7418
  57: type=COMPONENT_SET, name=Component 13, id=1391:7427
  58: type=COMPONENT_SET, name=Button Header, id=1429:1494
  59: type=COMPONENT_SET, name=Component 16, id=1391:8240
  60: type=RECTANGLE, name=image-removebg-preview 2, id=1461:5104
  61: type=FRAME, name=View Driving, id=1458:6547
  62: type=FRAME, name=View Construction, id=1761:2196
  63: type=FRAME, name=View Electrical, id=1761:4602
  64: type=FRAME, name=View health, id=1761:4763
  65: type=FRAME, name=View heating, id=1761:5024
  66: type=FRAME, name=View ICT, id=1761:5235
  67: type=FRAME, name=View Social, id=1761:5349
  68: type=FRAME, name=View tourism, id=1761:5513
  69: type=FRAME, name=View HR, id=1761:5674
  70: type=FRAME, name=View Cyber, id=1761:5885
  71: type=FRAME, name=Frame 13, id=1461:5318
  72: type=FRAME, name=Buttons, id=1493:671
  73: type=FRAME, name=delete sector, id=1535:925
  74: type=FRAME, name=delete course, id=1535:1044
  75: type=FRAME, name=Frame 128, id=1487:5412
  76: type=FRAME, name=Class code dropdown, id=1493:677
  77: type=FRAME, name=Main page dropdown, id=1493:1119
  78: type=FRAME, name=Create Dropdown, id=2031:3683
  79: type=COMPONENT_SET, name=Dropdown Buttons, id=1493:682
  80: type=COMPONENT_SET, name=Frame 119, id=1521:5132
  81: type=COMPONENT_SET, name=span, id=1487:5520
  82: type=COMPONENT_SET, name=delete, id=1535:731
  83: type=COMPONENT_SET, name=Frame 150, id=1521:6728
  84: type=FRAME, name=Folder Overlay, id=1493:1312
  85: type=FRAME, name=Coming Soon Overlay, id=1493:1636
